Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Stockpile,Normal,,—,—,20,,Stores energy for use with Spit Up and Swallow.,—
Stoked Sparksurfer,Electric,,175,—,1,,Alolan Raichu-exclusive Electric type Z-Move.,100
Stomp,Normal,,65,100,20,,May cause flinching.,30
Stomping Tantrum,Ground,,75,100,10,,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",—
Stone Axe,Rock,,65,90,15,,High critical hit ratio. Damages target with splinters each turn.,—
Stone Edge,Rock,,100,80,5,,High critical hit ratio.,—
Stored Power,Psychic,,20,100,10,,Power increases when user's stats have been raised.,—
Storm Throw,Fighting,,60,100,10,,Always results in a critical hit.,100
Strange Steam,Fairy,,90,95,10,,May confuse opponent.,20
Strength,Normal,,80,100,15,,,—
Strength Sap,Grass,,—,100,10,,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
String Shot,Bug,,—,95,40,,Sharply lowers opponent's Speed.,—
Struggle,Normal,,50,—,—,,Only usable when all PP are gone. Hurts the user.,—
Struggle Bug,Bug,,50,100,20,,Lowers opponent's Special Attack.,100
Stuff Cheeks,Normal,,—,—,10,,"The user eats its held Berry, then sharply raises its Defense stat.",100
Stun Spore,Grass,,—,75,30,,Paralyzes opponent.,—
Submission,Fighting,,80,80,20,,User receives recoil damage.,—
Substitute,Normal,,—,—,10,,Uses HP to creates a decoy that takes hits.,—
Subzero Slammer,Ice,—,—,—,1,,Ice type Z-Move.,—
Sucker Punch,Dark,,70,100,5,,"User attacks first, but only works if opponent is readying an attack.",—
Sunny Day,Fire,,—,—,5,,Makes it sunny for 5 turns.,—
Sunsteel Strike,Steel,,100,100,5,,Ignores the target's ability.,—
Super Fang,Normal,,—,90,10,,Always takes off half of the opponent's HP.,—
Superpower,Fighting,,120,100,5,,Lowers user's Attack and Defense.,100
Supersonic,Normal,,—,55,20,,Confuses opponent.,—
Supersonic Skystrike,Flying,—,—,—,1,,Flying type Z-Move.,—
Surf,Water,,90,100,15,,Hits all adjacent Pokémon.,—
Surging Strikes,Water,,25,100,5,,Always results in a critical hit and ignores stat changes.,—
Swagger,Normal,,—,85,15,,"Confuses opponent, but sharply raises its Attack.",—
Swallow,Normal,,—,—,10,,"The more times the user has performed Stockpile, the more HP is recovered.",—
Sweet Kiss,Fairy,,—,75,10,,Confuses opponent.,—
Sweet Scent,Normal,,—,100,20,,Lowers opponent's Evasiveness.,—
Swift,Normal,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Switcheroo,Dark,,—,100,10,,Swaps held items with the opponent.,—
Swords Dance,Normal,,—,—,20,,Sharply raises user's Attack.,—
Synchronoise,Psychic,,120,100,10,,Hits any Pokémon that shares a type with the user.,—
Synthesis,Grass,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Tackle,Normal,,40,100,35,,,—
Tail Glow,Bug,,—,—,20,,Drastically raises user's Special Attack.,—
Tail Slap,Normal,,25,85,10,,Hits 2-5 times in one turn.,—
Tail Whip,Normal,,—,100,30,,Lowers opponent's Defense.,—
Tailwind,Flying,,—,—,15,,Doubles Speed for 4 turns.,—
Take Down,Normal,,90,85,20,,User receives recoil damage.,—
Take Heart,Psychic,,—,—,10,,Heals user's status conditions and raises its stats.,—
Tar Shot,Rock,,—,100,15,,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,Dark,,—,100,20,,Opponent can only use moves that attack.,—
Tearful Look,Normal,,—,—,20,,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,Normal,,—,—,10,,Forces all Pokémon on the field to eat their berries.,—
Techno Blast,Normal,,120,100,5,,Type depends on the Drive being held.,—
Tectonic Rage,Ground,—,—,—,1,,Ground type Z-Move.,—
Teeter Dance,Normal,,—,100,20,,Confuses all Pokémon.,—
Telekinesis,Psychic,,—,—,15,,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",—
Teleport,Psychic,,—,—,20,,Allows user to flee wild battles; also warps player to last PokéCenter.,—
Terrain Pulse,Normal,,50,100,10,,Type and power change depending on the Terrain in effect.,—
Thief,Dark,,60,100,25,,Also steals opponent's held item.,—
Thousand Arrows,Ground,,90,100,10,,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Thousand Waves,Ground,,90,100,10,,Opponent cannot flee or switch.,—
Thrash,Normal,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Throat Chop,Dark,,80,100,15,,Prevents use of sound moves for two turns.,100
Thunder,Electric,,110,70,10,,May paralyze opponent.,30
Thunder Cage,Electric,,80,90,15,,"Deals damage and traps opponent, damaging them for 4-5 turns.",—
Thunder Fang,Electric,,65,95,15,,May cause flinching and/or paralyze opponent.,10
Thunder Punch,Electric,,75,100,15,,May paralyze opponent.,10
Thunder Shock,Electric,,40,100,30,,May paralyze opponent.,10
Thunder Wave,Electric,,—,90,20,,Paralyzes opponent.,—
Thunderbolt,Electric,,90,100,15,,May paralyze opponent.,10
Thunderous Kick,Fighting,,90,100,10,,Lowers opponent's Defense.,100
Tickle,Normal,,—,100,20,,Lowers opponent's Attack and Defense.,—
Topsy-Turvy,Dark,,—,—,20,,Reverses stat changes of opponent.,—
Torment,Dark,,—,100,15,,Opponent cannot use the same move in a row.,—
Toxic,Poison,,—,90,10,,Badly poisons opponent.,—
Toxic Spikes,Poison,,—,—,20,,Poisons opponents when they switch into battle.,—
Toxic Thread,Poison,,—,100,20,,Lowers target's Speed.,100
Transform,Normal,,—,—,10,,User takes on the form and attacks of the opponent.,—
Tri Attack,Normal,,80,100,10,,"May paralyze, burn or freeze opponent.",20
Trick,Psychic,,—,100,10,,Swaps held items with the opponent.,—
Trick Room,Psychic,,—,—,5,,Slower Pokémon move first in the turn for 5 turns.,—
Trick-or-Treat,Ghost,,—,100,20,,Adds Ghost type to opponent.,—
Triple Arrows,Fighting,,50,100,15,,Raises critical hit ratio and lowers target's Defense.,—
Triple Axel,Ice,,20,90,10,,Attacks thrice with more power each time.,—
Triple Kick,Fighting,,10,90,10,,Hits thrice in one turn at increasing power.,—
Trop Kick,Grass,,70,100,15,,Lowers opponent's Attack.,100
Trump Card,Normal,,—,∞,5,,"The lower the PP, the higher the power.",—
Twineedle,Bug,,25,100,20,,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,Fairy,—,—,—,1,,Fairy type Z-Move.,—
Twister,Dragon,,40,100,20,,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,Bug,,70,100,20,,User switches out immediately after attacking.,—
Uproar,Normal,,90,100,10,,User attacks for 3 turns and prevents sleep.,—
V-create,Fire,,180,95,5,,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,Fighting,,40,100,30,,User attacks first.,—
Veevee Volley,Normal,,—,∞,20,,Power increases when player's bond is stronger.,—
Venom Drench,Poison,,—,100,20,,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,Poison,,65,100,10,,Inflicts double damage if the target is poisoned.,—
Victory Dance,Fighting,,—,—,10,,Raises Attack and Defense.,—
Vine Whip,Grass,,45,100,25,,,—
Vise Grip,Normal,,55,100,30,,,—
Vital Throw,Fighting,,70,∞,10,,"User attacks last, but ignores Accuracy and Evasiveness.",—
Volt Switch,Electric,,70,100,20,,User must switch out after attacking.,—
Volt Tackle,Electric,,120,100,15,,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,Fighting,,70,100,10,,"Power doubles if opponent is asleep, but wakes it up.",—
Water Gun,Water,,40,100,25,,,—
Water Pledge,Water,,80,100,10,,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
Water Pulse,Water,,60,100,20,,May confuse opponent.,20
Water Shuriken,Water,,15,100,20,,Hits 2-5 times in one turn.,—
Water Sport,Water,,—,—,15,,Weakens the power of Fire-type moves.,—
Water Spout,Water,,150,100,5,,"The higher the user's HP, the higher the damage caused.",—
Waterfall,Water,,80,100,15,,May cause flinching.,20
Wave Crash,Water,,75,100,10,,User receives recoil damage.,—
Weather Ball,Normal,,50,100,10,,Move's power and type changes with the weather.,—
Whirlpool,Water,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,Normal,,—,—,20,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Wicked Blow,Dark,,80,100,5,,Always results in a critical hit and ignores stat changes.,—
Wide Guard,Rock,,—,—,10,,Protects the user's team from multi-target attacks.,—
Wild Charge,Electric,,90,100,15,,User receives recoil damage.,—
Wildbolt Storm,Electric,,95,80,5,,May paralyze target.,—
Will-O-Wisp,Fire,,—,85,15,,Burns opponent.,—
Wing Attack,Flying,,60,100,35,,,—
Wish,Normal,,—,—,10,,The user recovers HP in the following turn.,—
Withdraw,Water,,—,—,40,,Raises user's Defense.,—
Wonder Room,Psychic,,—,—,10,,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
Wood Hammer,Grass,,120,100,15,,User receives recoil damage.,—
Work Up,Normal,,—,—,30,,Raises user's Attack and Special Attack.,—
Worry Seed,Grass,,—,100,10,,Changes the opponent's Ability to Insomnia.,—
Wrap,Normal,,15,90,20,,"Traps opponent, damaging them for 4-5 turns.",100
Wring Out,Normal,,—,100,5,,"The higher the opponent's HP, the higher the damage.",—
X-Scissor,Bug,,80,100,15,,,—
Yawn,Normal,,—,—,10,,Puts opponent to sleep in the next turn.,—
Zap Cannon,Electric,,120,50,5,,Paralyzes opponent.,100
Zen Headbutt,Psychic,,80,90,15,,May cause flinching.,20
Zing Zap,Electric,,80,100,10,,May cause flinching.,30
Zippy Zap,Electric,,50,100,15,,Always results in a critical hit.,100
